"['pm', 'pay', 'back']",1
"['ku', 'ch', 'khas', 'bate']",1
[''],1
"['lhs', 'lt']",1
['tiny'],1
"['mbc', 'lm']",1
"['in', 'for', 'ef', 'mb']",1
"['in', 'for', 'ef', 'mb']",1
"['solicit', 'ar', 'multi', 'plus']",1
"['appa', 'thy', 'safe', 'br']",1
[''],1
"['appa', 'thy', 'safe', 'br']",1
"['ref', 'sec', 'mb']",1
"['ref', 'sec', 'mb']",1
"['sec', 'smb']",1
"['sec', 'smb']",1
"['section', 'pf', 'mb']",1
"['section', 'pf', 'mb']",1
"['arc', 're', 'pro', 'web', 'host', 'app']",1
"['is', 'sbk', 'muf', 'in', 'kinj']",1
"['secure', 'secure', 'web', 'session']",1
"['client', 'co', 'mumbler']",1
"['x', 'sph']",1
"['x', 'sph']",1
"['appa', 'thy', 'safe', 'br']",1
['tesla'],1
"['ds', 'gn', 'pool']",1
"['of', 'us', 'even', 'ment', 'draco', 'niro']",1
"['client', 'co', 'mumbler']",1
"['my', 'billing', 'login']",1
"['audio', 'booked']",1
['sad'],1
"['ud', 'inca', 'ko', 'web', 'host', 'app']",1
"['ud', 'inca', 'ko', 'web', 'host', 'app']",1
"['www', 'zona', 'segura', 'sbn']",1
['cbb'],1
"['aude', 'of', 'web']",1
"['duct', 'port', 'ails', 'fire', 'base', 'app']",1
"['time', 'honoured', 'di', 'men', 'web', 'host', 'app']",1
"['shrimp', 'throats', 'web', 'host', 'app']",1
"['mahratta', 'supply', 'web', 'host', 'app']",1
"['java', 'heights', 'web', 'host', 'app']",1
"['radio', 'strobes', 'web', 'host', 'app']",1
"['op', 'co', 'mumbler']",1
"['bt', 'nance']",1
"['free', 'btc', 'eth']",1
"['free', 'btc', 'eth']",1
"['secure', 'runescape', 'com', 'un']",1
"['brad', 'es', 'coma', 'is', 'plano', 'br']",1
"['ds', 'gn', 'pool']",1
"['qincheng', 'wh']",1
"['do', 'tr', 'dj', 'ws', 'vlsi', 'app', 'spot']",1
"['do', 'tr', 'dj', 'ws', 'vlsi', 'app', 'spot']",1
"['xi', 'le', 'miao']",1
"['tds', 'az', 'app', 'spot']",1
"['x', 'sph']",1
"['www', 'zona', 'segura', 'sbn']",1
"['ebay', 'error', 'bus', 'sines', 'spay', 'it', 'lab']",1
"['protoplasm', 'al', 'sub', 'pro', 'web', 'host', 'app']",1
"['protoplasm', 'al', 'sub', 'pro', 'web', 'host', 'app']",1
"['payment', 'suess', 'global', 'doncaster', 'service', 'centre', 'com']",1
"['payment', 'suess', 'global', 'doncaster', 'service', 'centre', 'com']",1
"['cec', 'org']",1
"['duck', 'billed', 'class', 'if', 'web', 'host', 'app']",1
"['eo', 'hz', 'web', 'host', 'app']",1
"['umber', 'st', 'vol']",1
"['umber', 'st', 'vol']",1
"['casa', 'abr', 'il', 'selections']",1
"['casa', 'abr', 'il', 'selections']",1
"['umber', 'st', 'vol']",1
"['umber', 'st', 'vol']",1
"['audio', 'booked']",1
"['audio', 'booked']",1
"['ho', 'asap', 'saigon']",1
"['smart', 'pos', 'st']",1
"['snow', 'push']",1
"['ver', 'it', 'marketing']",1
"['pastel', 'eri', 'mona']",1
"['yerevan', 'print', 'biennale']",1
"['yerevan', 'print', 'biennale']",1
"['admiral', 'markets']",1
"['time', 'honoured', 'di', 'men', 'web', 'host', 'app']",1
[''],1
"['po', 'rome', 'ric', 'runner', 'web', 'host', 'app']",1
"['admiral', 'markets']",1
"['mahratta', 'supply', 'web', 'host', 'app']",1
"['shrimp', 'throats', 'web', 'host', 'app']",1
"['adore', 'designs', 'co']",1
"['priv', 'online', 'voor', 'waar', 'des', 'serve']",1
"['apple', 'com', 'app', 'id']",1
"['op', 'co', 'mumbler']",1
"['raka', 'saws']",1
"['raka', 'saws']",1
"['admiral', 'markets']",1
"['of', 'us', 'retro']",1
"['of', 'us', 'retro']",1
"['secured', 'bank', 'of', 'america', 'com', 'reset', 'net', 'li', 'fy']",1
"['secured', 'bank', 'of', 'america', 'com', 'reset', 'net', 'li', 'fy']",1
"['abcde', 'web', 'host', 'app']",1
"['paypal', 'coma', 'dispute', 'gaj', 'siddhi', 'global']",1
"['elite', 'tutoring']",1
"['en', 'amazon', 'co', 'jp', 'feedback', 'far', 'ruc', 'mail', 'business']",1
"['add', 'bfc', 'adc', 'html', 'pasta']",1
"['secure', 'secure', 'web', 'session']",1
"['elite', 'tutoring']",1
"['elite', 'loot']",1
"['hg', 'hg', 'jot', 'bh', 'vs']",1
"['plc', 'nl', 'pro', 'dams', 'secure', 'server']",1
"['actual', 'is', 'ation', 'efc', 'bo', 'vh', 'net', 'fde', 'sio']",1
"['actual', 'is', 'ation', 'efc', 'bo', 'vh', 'net', 'fde', 'sio']",1
"['beltr', 'on', 'ix']",1
"['camp', 'is', 'corrado', 'michele']",1
"['elite', 'tutoring']",1
"['elite', 'tutoring']",1
"['abcde', 'web', 'host', 'app']",1
"['remo', 'ln', 'bia', 'no']",1
['k'],1
"['remo', 'ln', 'bia', 'no']",1
"['rajesh', 'khan', 'al', 'com']",1
"['zao', 'vr', 'achi']",1
"['hub', 'mode', 'web']",1
[''],1
"['jp', 'post', 'no']",1
"['infant', 'baptism']",1
"['maj', 'on']",1
"['maj', 'on']",1
"['login', 'microsoft', 'online', 'com', 'common', 'login', 'in', 'voice', 'and', 'mar']",1
"['strike', 'mt']",1
"['pre', 'cancerous', 'stab', 'il', 'web', 'host', 'app']",1
"['pre', 'cancerous', 'stab', 'il', 'web', 'host', 'app']",1
"['pre', 'cancerous', 'stab', 'il', 'web', 'host', 'app']",1
"['pre', 'cancerous', 'stab', 'il', 'web', 'host', 'app']",1
"['pre', 'cancerous', 'stab', 'il', 'web', 'host', 'app']",1
"['pre', 'cancerous', 'stab', 'il', 'web', 'host', 'app']",1
"['line', 'grace', 'web', 'host', 'app']",1
"['n', 'fac', 'book', 'web', 'host', 'app']",1
['bit'],1
"['in', 'ici', 'of', 'bk', 'we', 'bc', 'in', 'dario']",1
"['aux', 'ol', 'and', 'web', 'host', 'app']",1
"['ge', 'that', 'bad', 'age', 'now', 'web', 'host', 'app']",1
"['egg', 'web', 'host', 'app']",1
"['mos', 'ko', 'play', 'daum', 'web', 'host', 'app']",1
"['foto', 'nu', 'as', 'cvp', 'web', 'host', 'app']",1
"['olms', 'yu', 'web', 'host', 'app']",1
"['inconsistent', 'blind', 'web', 'host', 'app']",1
"['code', 'jam', 'web', 'host', 'app']",1
"['ql', 'wwe', 'host', 'app']",1
"['ql', 'wwe', 'host', 'app']",1
"['ql', 'wwe', 'host', 'app']",1
"['awd', 'vd', 'web', 'host', 'app']",1
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[''],0
['is'],0
"['abc', 'go']",0
"['abc', 'go']",0
"['abc', 'news', 'go']",0
